default		00:00:23.440	23.44	00:00:25.660	25.66	00:00:02.220	2.22	looking down
default		00:00:28.640	28.64	00:00:29.690	29.69	00:00:01.050	1.05	looking down
default		00:00:33.465	33.465	00:00:34.665	34.665	00:00:01.200	1.2	looking down
default		00:00:48.205	48.205	00:00:48.925	48.925	00:00:00.720	0.72	looking down
default		00:00:51.415	51.415	00:00:51.635	51.635	00:00:00.220	0.22	looking down
default		00:00:53.975	53.975	00:00:54.365	54.365	00:00:00.390	0.39	looking down
default		00:00:59.340	59.34	00:01:00.970	60.97	00:00:01.630	1.63	looking down
default		00:01:16.595	76.595	00:01:17.565	77.565	00:00:00.970	0.97	looking down
default		00:01:25.460	85.46	00:01:26.070	86.07	00:00:00.610	0.61	looking down
default		00:01:42.765	102.765	00:01:44.035	104.035	00:00:01.270	1.27	looking down
default		00:01:49.470	109.47	00:01:49.640	109.64	00:00:00.170	0.17	looking down
default		00:01:54.165	114.165	00:01:54.425	114.425	00:00:00.260	0.26	looking down
