default		00:00:04.510	4.51	00:00:06.190	6.19	00:00:01.680	1.68	looking down
default		00:00:08.430	8.43	00:00:14.320	14.32	00:00:05.890	5.89	looking down
default		00:00:17.555	17.555	00:00:19.855	19.855	00:00:02.300	2.3	looking down
default		00:00:21.615	21.615	00:00:24.405	24.405	00:00:02.790	2.79	looking down
default		00:00:25.390	25.39	00:00:38.070	38.07	00:00:12.680	12.68	looking down
default		00:00:43.170	43.17	00:00:45.130	45.13	00:00:01.960	1.96	looking down
default		00:00:48.020	48.02	00:01:04.110	64.11	00:00:16.090	16.09	looking down
default		00:01:08.580	68.58	00:01:09.460	69.46	00:00:00.880	0.88	looking down
default		00:01:11.730	71.73	00:01:23.890	83.89	00:00:12.160	12.16	looking down
default		00:01:28.110	88.11	00:01:39.660	99.66	00:00:11.550	11.55	looking down
default		00:01:42.235	102.235	00:01:47.555	107.555	00:00:05.320	5.32	looking down
default		00:01:57.105	117.105	00:02:00.005	120.005	00:00:02.900	2.9	looking down
